Year,SPAIN,U ARAB EMTS,U K,U S A
2003-04,2688.73,1423.33,12776.51,5394.85
2004-05,3294.9,2275.85,14165.83,5980.17
2005-06,4951.06,2495.47,14534.48,8599.78
2006-07,4828.95,2630.43,19204.74,7671.69
2007-08,4889.94,2591.36,14946.34,7988.82
2008-09,5807.81,2964.26,17108.39,8717.81
2009-10,6240.46,3011.15,21534.92,6333.47
2010-11,7217.63,2242.97,23343.16,7049.63
2011-12,6069.92,3403,20466.98,8275.08
2012-13,5839.75,3194.85,22366.03,10897.56
2013-14,6885.42,3455.52,22905.86,16120.9
2014-15,5685.8,2662.72,22553.94,15002.44
2015-16,7385.56,3544.58,25389.45,22566.1
2016-17,6548.16,3134.91,24414.23,27355.47
2017-18,6110.36,2207.86,23152.31,24812.43
2018-19,6152.95,3036.27,21999.97,26176.17
2019-20,6202.94,2906.51,20439.42,24909.1
2020-21,4839.65,1344.14,12015.72,19271.37
2021-22,6390.28,2066.45,14921.03,31923.57
